Table 6 1: Key activities proposed for soil and water conservation in MWS-005,,,,,,,,,,,,,,
No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No. ,N or X,E or Y,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.)Total Cost (Rs.),,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
,,,5. Soil conservation - Mihidunthenna (20°),4,1,7.241753,80.705027,3 ha,"Lock and spills
Stone terracing as applied",400.00 m-1,"1,200,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,6. Soil conservation - Doolmure (45°),3,1,7.242649,80.705671,7 ha,"Live fencing/SALT
Stone terracing as applied",250.00 m-1,"1,750,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,7. Soil conservation - Doolmure (40°),1,1,7.241219,80.708716,6 ha,"Live fencing/SALT
Stone terracing as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,8. Establishing a retaining wall,3,1,7.242023,80.706107,60 m x 1.5 m,Retaining wall,"2,000.00 m-2","180,000.00","4,785,000.00",,0.25 Years
17,994,Godalawela,1. Development of natural drains - Godalawela Kandura 1,1,1,7.2384117,80.716881,300 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"30,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Development of natural drains - Akuwitiya Kandura ,1,1,7.236339,80.71744,100 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"10,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Development of natural drains - Godalawela Kandura 3,,1,,,2 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Development of natural drains - Godalawela Kandura 4,3,1,7.23603,80.714319,50 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"5,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,5. Soil conservation - Doolmure (30 - 65°),1,1,7.235738,80.719151,30 ha,"Lock and spills - 10 ha
Stone terracing - 4 ha
Live fencing/SALT - 16 ha","400.00 m-1
2,500.00 m-1
250.00 m-1","4000000
10000000
4000000","18,245,000.00","Labour and other basic services by the Local community
Labour and other basic services by the Local community
Labour and other basic services by the Local community","0.25 Years
0.25 Years
0.25 Years"
,GRAND TOTAL,,,,,,,,,,"177,759,000.00",,,
